"ItemBarcode","BrowseAuthor","BrowseTitle","LastCheckOutRenewDate","ItemYTDCircCount","PrevYearCircCount","ItemLifetimeCircCount"
"39870000758046","Bennett, Robert Jackson, 1984-","City of stairs : a novel","6/14/2017 4:43:32 PM","1",,"2"
"39870000759374","Lackey, Mercedes.","The house of the four winds","4/14/2017 3:20:24 PM","1",,"3"
"39870000757584","Hurley, Kameron.","The mirror empire","2/11/2015 12:00:00 AM","0",,"2"
"39870000758707","Bishop, Anne.","Murder of crows : a novel of the Others","5/13/2017 1:12:32 PM","1","2","7"
"39870000755901","Stirling, S. M.","The council of shadows : a novel of the Shadowspawn","11/12/2016 12:13:28 PM","0","1","1"
"39870000755919","Stirling, S. M.","Shadows of falling night","9/10/2016 1:18:03 PM","0","1","1"
"39870000753377","Butcher, Jim, 1971-","Skin game : a novel of the Dresden files","1/7/2017 1:56:03 PM","1",,"3"
"39870000751447","Lackey, Mercedes.","Blood red",,"0",,"0"
"39870000752205","Pratchett, Terry.","The long Mars : a novel","7/14/2016 4:35:45 PM","0","1","2"
"39870000745928","Coonts, Stephen, 1946-","Saucer : savage planet","7/30/2016 1:48:13 PM","0","1","3"
"39870000743048","Lawhead, Stephen R., 1950-","The shadow lamp","10/31/2015 12:00:00 AM","0",,"1"
"39870000742925","Lawhead, Stephen R., 1950-","The spirit well","10/31/2015 12:00:00 AM","0",,"1"
"39870000742982","Lawhead, Stephen R., 1950-","The bone house","10/26/2015 12:00:00 AM","0",,"3"
"39870000744384","Sanderson, Brandon, author.","Words of radiance","10/24/2016 1:45:24 PM","0","1","4"
"39870000740945","Price, Daniel, 1970-","The flight of the silvers","1/11/2016 12:00:00 AM","0",,"2"
"39870000742081","Wooding, Chris, 1977-","The Iron jackal : a tale of Ketty Jay","2/10/2017 4:16:12 PM","1",,"1"
"39870000742057","Pratchett, Terry, author.","Raising steam : a Discworld novel","2/4/2017 4:01:54 PM","1",,"2"
"39870000738568","Waters, M. D., 1976-","Archetype : a novel","2/1/2014 12:00:00 AM","0",,"1"
"39870000736661","Staveley, Brian.","The emperor's blades","11/28/2016 10:57:28 AM","0","3","6"
